date,region,resource_type,usage_cpu,usage_storage,users_active,day_of_week,month,quarter,is_weekend,utilization_ratio,storage_efficiency,cpu_lag_1,cpu_lag_3,cpu_lag_7,cpu_roll_mean_7,cpu_roll_mean_30,cpu_roll_max_7,cpu_roll_min_7
2023-01-01,East US,VM,88,1959,470,6,1,1,True,0.8888888888888888,0.9819548872180451,,,,,,,
2023-01-01,East US,Storage,92,1595,388,6,1,1,True,0.9292929292929293,0.7994987468671679,88.0,,,,,,
2023-01-01,East US,Container,70,621,414,6,1,1,True,0.7070707070707071,0.3112781954887218,92.0,,,,,,
2023-01-02,East US,VM,96,1457,250,0,1,1,False,0.9696969696969697,0.7303258145363408,70.0,88.0,,,,,
2023-01-02,East US,Storage,93,1767,330,0,1,1,False,0.9393939393939394,0.8857142857142857,96.0,92.0,,,,,
2023-01-02,East US,Container,86,1146,220,0,1,1,False,0.8686868686868687,0.5744360902255639,93.0,70.0,,,,,
2023-01-03,East US,VM,93,661,401,1,1,1,False,0.9393939393939394,0.331328320802005,86.0,96.0,,88.28571428571429,,96.0,70.0
2023-01-03,East US,Storage,85,769,470,1,1,1,False,0.8585858585858586,0.3854636591478697,93.0,93.0,88.0,87.85714285714286,,96.0,70.0
2023-01-03,East US,Container,57,1985,414,1,1,1,False,0.5757575757575758,0.9949874686716792,85.0,86.0,92.0,82.85714285714286,,96.0,57.0
2023-01-04,East US,VM,91,730,240,2,1,1,False,0.9191919191919192,0.3659147869674185,57.0,93.0,70.0,85.85714285714286,,96.0,57.0
2023-01-04,East US,Storage,77,634,400,2,1,1,False,0.7777777777777778,0.31779448621553885,91.0,85.0,96.0,83.14285714285714,,93.0,57.0
2023-01-04,East US,Container,57,1279,232,2,1,1,False,0.5757575757575758,0.6411027568922306,77.0,57.0,93.0,78.0,,93.0,57.0
2023-01-05,East US,VM,81,984,430,3,1,1,False,0.8181818181818182,0.4932330827067669,57.0,91.0,86.0,77.28571428571429,,93.0,57.0
2023-01-05,East US,Storage,94,1694,228,3,1,1,False,0.9494949494949495,0.8491228070175438,81.0,77.0,93.0,77.42857142857143,,94.0,57.0
2023-01-05,East US,Container,85,1024,359,3,1,1,False,0.8585858585858586,0.5132832080200501,94.0,57.0,85.0,77.42857142857143,,94.0,57.0
2023-01-06,East US,VM,86,1748,433,4,1,1,False,0.8686868686868687,0.8761904761904762,85.0,81.0,57.0,81.57142857142857,,94.0,57.0
2023-01-06,East US,Storage,93,1163,359,4,1,1,False,0.9393939393939394,0.5829573934837092,86.0,94.0,91.0,81.85714285714286,,94.0,57.0
2023-01-06,East US,Container,81,1995,432,4,1,1,False,0.8181818181818182,1.0,93.0,85.0,77.0,82.42857142857143,,94.0,57.0
2023-01-07,East US,VM,66,1266,493,5,1,1,True,0.6666666666666666,0.6345864661654136,81.0,86.0,57.0,83.71428571428571,,94.0,66.0
2023-01-07,East US,Storage,73,1383,297,5,1,1,True,0.7373737373737373,0.6932330827067669,66.0,93.0,81.0,82.57142857142857,,94.0,66.0
2023-01-07,East US,Container,55,1481,439,5,1,1,True,0.5555555555555556,0.7423558897243108,73.0,81.0,94.0,77.0,,93.0,55.0
2023-01-08,East US,VM,98,501,453,6,1,1,True,0.98989898989899,0.2511278195488722,55.0,66.0,85.0,78.85714285714286,,98.0,55.0
2023-01-08,East US,Storage,61,952,236,6,1,1,True,0.6161616161616161,0.47719298245614034,98.0,73.0,86.0,75.28571428571429,,98.0,55.0
2023-01-08,East US,Container,81,1514,208,6,1,1,True,0.8181818181818182,0.7588972431077694,61.0,55.0,93.0,73.57142857142857,,98.0,55.0
2023-01-09,East US,VM,85,660,267,0,1,1,False,0.8585858585858586,0.3308270676691729,81.0,98.0,81.0,74.14285714285714,,98.0,55.0
2023-01-09,East US,Storage,82,897,476,0,1,1,False,0.8282828282828283,0.4496240601503759,85.0,61.0,66.0,76.42857142857143,,98.0,55.0
2023-01-09,East US,Container,97,1915,334,0,1,1,False,0.9797979797979798,0.9598997493734336,82.0,81.0,73.0,79.85714285714286,,98.0,55.0
2023-01-10,East US,VM,77,657,245,1,1,1,False,0.7777777777777778,0.3293233082706767,97.0,85.0,55.0,83.0,,98.0,61.0
2023-01-10,East US,Storage,55,598,432,1,1,1,False,0.5555555555555556,0.29974937343358393,77.0,82.0,98.0,76.85714285714286,,97.0,55.0
2023-01-10,East US,Container,86,779,380,1,1,1,False,0.8686868686868687,0.3904761904761905,55.0,97.0,61.0,80.42857142857143,80.7,97.0,55.0
2023-01-11,East US,VM,97,1562,369,2,1,1,False,0.9797979797979798,0.7829573934837093,86.0,77.0,81.0,82.71428571428571,81.0,97.0,55.0
2023-01-11,East US,Storage,75,1420,212,2,1,1,False,0.7575757575757576,0.7117794486215538,97.0,55.0,85.0,81.28571428571429,80.43333333333334,97.0,55.0
2023-01-11,East US,Container,56,535,372,2,1,1,False,0.5656565656565656,0.2681704260651629,75.0,86.0,82.0,77.57142857142857,79.96666666666667,97.0,55.0
2023-01-12,East US,VM,92,943,300,3,1,1,False,0.9292929292929293,0.47268170426065165,56.0,97.0,97.0,76.85714285714286,79.83333333333333,97.0,55.0
2023-01-12,East US,Storage,82,763,252,3,1,1,False,0.8282828282828283,0.3824561403508772,92.0,75.0,77.0,77.57142857142857,79.46666666666667,97.0,55.0
2023-01-12,East US,Container,93,504,302,3,1,1,False,0.9393939393939394,0.25263157894736843,82.0,56.0,55.0,83.0,79.7,97.0,56.0
2023-01-13,East US,VM,50,1795,388,4,1,1,False,0.5050505050505051,0.899749373433584,93.0,92.0,86.0,77.85714285714286,78.26666666666667,97.0,50.0
2023-01-13,East US,Storage,88,1203,268,4,1,1,False,0.8888888888888888,0.6030075187969924,50.0,82.0,97.0,76.57142857142857,78.36666666666666,93.0,50.0
2023-01-13,East US,Container,71,1360,446,4,1,1,False,0.7171717171717171,0.681704260651629,88.0,93.0,75.0,76.0,78.83333333333333,93.0,50.0
2023-01-14,East US,VM,80,1261,346,5,1,1,True,0.8080808080808081,0.6320802005012531,71.0,50.0,56.0,79.42857142857143,78.46666666666667,93.0,50.0
2023-01-14,East US,Storage,81,1268,203,5,1,1,True,0.8181818181818182,0.6355889724310777,80.0,88.0,92.0,77.85714285714286,78.6,93.0,50.0
2023-01-14,East US,Container,65,1291,446,5,1,1,True,0.6565656565656566,0.6471177944862155,81.0,71.0,82.0,75.42857142857143,78.86666666666666,93.0,50.0
2023-01-15,East US,VM,66,589,463,6,1,1,True,0.6666666666666666,0.29523809523809524,65.0,80.0,93.0,71.57142857142857,78.36666666666666,88.0,50.0
2023-01-15,East US,Storage,78,1469,289,6,1,1,True,0.7878787878787878,0.7363408521303259,66.0,81.0,50.0,75.57142857142857,77.83333333333333,88.0,65.0
2023-01-15,East US,Container,83,614,304,6,1,1,True,0.8383838383838383,0.30776942355889725,78.0,65.0,88.0,74.85714285714286,77.76666666666667,83.0,65.0
2023-01-16,East US,VM,84,1372,485,0,1,1,False,0.8484848484848485,0.6877192982456141,83.0,66.0,71.0,76.71428571428571,77.7,84.0,65.0
2023-01-16,East US,Storage,66,561,283,0,1,1,False,0.6666666666666666,0.281203007518797,84.0,78.0,80.0,74.71428571428571,76.8,84.0,65.0
2023-01-16,East US,Container,97,1228,386,0,1,1,False,0.9797979797979798,0.6155388471177945,66.0,83.0,81.0,77.0,77.33333333333333,97.0,65.0
2023-01-17,East US,VM,54,1686,414,1,1,1,False,0.5454545454545454,0.8451127819548873,97.0,84.0,65.0,75.42857142857143,76.93333333333334,97.0,54.0
2023-01-17,East US,Storage,78,734,345,1,1,1,False,0.7878787878787878,0.36791979949874687,54.0,66.0,66.0,77.14285714285714,77.1,97.0,54.0
2023-01-17,East US,Container,96,1087,208,1,1,1,False,0.9696969696969697,0.5448621553884712,78.0,97.0,78.0,79.71428571428571,78.46666666666667,97.0,54.0
2023-01-18,East US,VM,88,590,401,2,1,1,False,0.8888888888888888,0.2957393483709273,96.0,54.0,83.0,80.42857142857143,78.13333333333334,97.0,54.0
2023-01-18,East US,Storage,75,538,325,2,1,1,False,0.7575757575757576,0.2696741854636591,88.0,78.0,84.0,79.14285714285714,78.6,97.0,54.0
2023-01-18,East US,Container,52,672,340,2,1,1,False,0.5252525252525253,0.3368421052631579,75.0,96.0,66.0,77.14285714285714,77.63333333333334,97.0,52.0
2023-01-19,East US,VM,69,1964,246,3,1,1,False,0.696969696969697,0.9844611528822055,52.0,88.0,97.0,73.14285714285714,77.1,96.0,52.0
2023-01-19,East US,Storage,90,1828,213,3,1,1,False,0.9090909090909091,0.9162907268170426,69.0,75.0,54.0,78.28571428571429,77.36666666666666,96.0,52.0
2023-01-19,East US,Container,64,1938,200,3,1,1,False,0.6464646464646465,0.9714285714285714,90.0,52.0,78.0,76.28571428571429,76.26666666666667,96.0,52.0
2023-01-20,East US,VM,78,1408,245,4,1,1,False,0.7878787878787878,0.7057644110275689,64.0,69.0,96.0,73.71428571428571,76.3,90.0,52.0
2023-01-20,East US,Storage,84,1776,281,4,1,1,False,0.8484848484848485,0.8902255639097745,78.0,90.0,88.0,73.14285714285714,77.26666666666667,90.0,52.0
2023-01-20,East US,Container,54,949,209,4,1,1,False,0.5454545454545454,0.4756892230576441,84.0,64.0,75.0,70.14285714285714,76.2,90.0,52.0
2023-01-21,East US,VM,87,1270,222,5,1,1,True,0.8787878787878788,0.6365914786967418,54.0,78.0,52.0,75.14285714285714,75.86666666666666,90.0,54.0
2023-01-21,East US,Storage,86,1176,401,5,1,1,True,0.8686868686868687,0.5894736842105263,87.0,84.0,69.0,77.57142857142857,76.23333333333333,90.0,54.0
2023-01-21,East US,Container,59,582,344,5,1,1,True,0.5959595959595959,0.29172932330827067,86.0,54.0,90.0,73.14285714285714,76.33333333333333,87.0,54.0
2023-01-22,East US,VM,66,1123,454,6,1,1,True,0.6666666666666666,0.562907268170426,59.0,87.0,64.0,73.42857142857143,75.46666666666667,87.0,54.0
2023-01-22,East US,Storage,96,1418,406,6,1,1,True,0.9696969696969697,0.7107769423558897,66.0,86.0,78.0,76.0,75.93333333333334,96.0,54.0
2023-01-22,East US,Container,86,1352,265,6,1,1,True,0.8686868686868687,0.6776942355889725,96.0,59.0,84.0,76.28571428571429,75.7,96.0,54.0
2023-01-23,East US,VM,83,552,404,0,1,1,False,0.8383838383838383,0.27669172932330827,86.0,66.0,54.0,80.42857142857143,76.8,96.0,59.0
