date,actual,predicted
2023-03-23,73.0,0.47896418
2023-03-23,76.0,0.47896418
2023-03-23,74.0,0.47896418
2023-03-23,54.0,0.47896418
2023-03-23,61.0,0.47896418
2023-03-23,75.0,0.47896418
2023-03-23,66.0,0.47896418
2023-03-23,72.0,0.47896418
2023-03-23,83.0,0.47896418
2023-03-23,77.0,0.47896418
2023-03-23,68.0,0.47896418
2023-03-23,75.0,0.47896418
2023-03-24,58.0,0.47896418
2023-03-24,95.0,0.47896418
2023-03-24,84.0,0.47896418
2023-03-24,60.0,0.47896418
2023-03-24,76.0,0.47896418
2023-03-24,69.0,0.47896418
2023-03-24,57.0,0.47896418
2023-03-24,52.0,0.47896418
2023-03-24,64.0,0.47896418
2023-03-24,83.0,0.47896418
2023-03-24,77.0,0.47896418
2023-03-24,69.0,0.47896418
2023-03-25,89.0,0.47896418
2023-03-25,83.0,0.47896418
2023-03-25,58.0,0.47896418
2023-03-25,87.0,0.47896418
2023-03-25,57.0,0.47896418
2023-03-25,71.0,0.47896418
2023-03-25,75.0,0.47896418
2023-03-25,52.0,0.47896418
2023-03-25,67.0,0.47896418
2023-03-25,72.0,0.47896418
2023-03-25,55.0,0.47896418
2023-03-25,68.0,0.47896418
2023-03-26,87.0,0.47896418
2023-03-26,68.0,0.47896418
2023-03-26,56.0,0.47896418
2023-03-26,89.0,0.47896418
2023-03-26,98.0,0.47896418
2023-03-26,61.0,0.47896418
2023-03-26,51.0,0.47896418
2023-03-26,90.0,0.47896418
2023-03-26,74.0,0.47896418
2023-03-26,58.0,0.47896418
2023-03-26,65.0,0.47896418
2023-03-26,90.0,0.47896418
2023-03-27,78.0,0.47896418
2023-03-27,70.0,0.47896418
2023-03-27,53.0,0.47896418
2023-03-27,86.0,0.47896418
2023-03-27,66.0,0.47896418
2023-03-27,95.0,0.47896418
2023-03-27,94.0,0.47896418
2023-03-27,58.0,0.47896418
2023-03-27,95.0,0.47896418
2023-03-27,70.0,0.47896418
2023-03-27,81.0,0.47896418
2023-03-27,90.0,0.47896418
2023-03-28,57.0,0.47896418
2023-03-28,55.0,0.47896418
2023-03-28,53.0,0.47896418
2023-03-28,94.0,0.47896418
2023-03-28,73.0,0.47896418
2023-03-28,57.0,0.47896418
2023-03-28,57.0,0.47896418
2023-03-28,87.0,0.47896418
2023-03-28,69.0,0.47896418
2023-03-28,94.0,0.47896418
2023-03-28,84.0,0.47896418
2023-03-28,71.0,0.47896418
2023-03-29,88.0,0.47896418
2023-03-29,98.0,0.47896418
2023-03-29,92.0,0.47896418
2023-03-29,88.0,0.47896418
2023-03-29,60.0,0.47896418
2023-03-29,88.0,0.47896418
2023-03-29,58.0,0.47896418
2023-03-29,73.0,0.47896418
2023-03-29,98.0,0.47896418
2023-03-29,95.0,0.47896418
2023-03-29,57.0,0.47896418
2023-03-29,93.0,0.47896418
2023-03-30,85.0,0.47896418
2023-03-30,64.0,0.47896418
2023-03-30,98.0,0.47896418
2023-03-30,96.0,0.47896418
2023-03-30,82.0,0.47896418
2023-03-30,51.0,0.47896418
2023-03-30,88.0,0.47896418
2023-03-30,94.0,0.47896418
2023-03-30,76.0,0.47896418
2023-03-30,54.0,0.47896418
2023-03-30,61.0,0.47896418
2023-03-30,98.0,0.47896418
2023-03-31,77.0,0.47896418
2023-03-31,98.0,0.47896418
2023-03-31,77.0,0.47896418
2023-03-31,74.0,0.47896418
2023-03-31,55.0,0.47896418
2023-03-31,84.0,0.47896418
2023-03-31,51.0,0.47896418
2023-03-31,58.0,0.47896418
2023-03-31,51.0,0.47896418
2023-03-31,78.0,0.47896418
2023-03-31,67.0,0.47896418
2023-03-31,51.0,0.47896418
