date,actual,predicted
2023-03-14,76,75.06887222240465
2023-03-14,90,73.98067728501104
2023-03-14,53,71.72683608308675
2023-03-14,84,71.28496174808144
2023-03-14,70,73.14242229082106
2023-03-14,58,72.04184485425684
2023-03-14,91,72.88690939294945
2023-03-14,61,72.62577786315117
2023-03-14,60,72.24747577394395
2023-03-14,68,72.34829624188647
2023-03-14,83,72.56318807377961
2023-03-14,52,72.4320516983898
2023-03-15,94,72.5261290572687
2023-03-15,63,72.47163336340435
2023-03-15,61,72.42297676691295
2023-03-15,68,72.45788711311396
2023-03-15,56,72.48079208838085
2023-03-15,83,72.46307519228156
2023-03-15,53,72.4724797667558
2023-03-15,71,72.46296074689074
2023-03-15,80,72.4583997269437
2023-03-15,69,72.46567185080995
2023-03-15,75,72.46751934581701
2023-03-15,87,72.46483516002351
2023-03-16,96,72.46566754678781
2023-03-16,98,72.46426877457891
2023-03-16,96,72.4641181148511
2023-03-16,60,72.46534503812599
2023-03-16,65,72.46534543044254
2023-03-16,59,72.46492056629774
2023-03-16,96,72.46499423981199
2023-03-16,53,72.46482531466033
2023-03-16,94,72.46488350015186
2023-03-16,98,72.46505949318522
2023-03-16,68,72.46501436398107
2023-03-16,85,72.46494961418438
2023-03-17,75,72.464960004113
2023-03-17,88,72.46494495231836
2023-03-17,73,72.4649633084997
2023-03-17,95,72.46498428877398
2023-03-17,78,72.4649709784664
2023-03-17,54,72.46496216543362
2023-03-17,55,72.46496469701123
2023-03-17,95,72.4649642155176
2023-03-17,80,72.46496772296351
2023-03-17,62,72.46496954098777
2023-03-17,68,72.46496676266119
2023-03-17,94,72.46496580547627
2023-03-18,80,72.46496645178918
2023-03-18,63,72.4649666076135
2023-03-18,92,72.46496711696614
2023-03-18,79,72.46496714665489
2023-03-18,70,72.4649666680302
2023-03-18,56,72.46496661589498
2023-03-18,55,72.4649667588839
2023-03-18,97,72.46496680016074
2023-03-18,92,72.46496685490851
2023-03-18,53,72.46496682327589
2023-03-18,60,72.46496675343374
2023-03-18,93,72.46496676359679
2023-03-19,82,72.46496679048806
2023-03-19,67,72.46496679583154
2023-03-19,83,72.46496679866671
2023-03-19,91,72.46496678969535
2023-03-19,99,72.46496678135537
2023-03-19,90,72.46496678580193
2023-03-19,98,72.46496679007313
2023-03-19,55,72.46496679018061
